location,link
"Alpha Corp GurgaonOne 84, Sector 84, Gurgaon",https://www.99acres.com/alpha-corp-gurgaonone-84-sector-84-gurgaon-npxid-r5096
"DLF The Ultima, Sector 81, Gurgaon",https://www.99acres.com/dlf-the-ultima-sector-81-gurgaon-npxid-r7182
"Experion Windchants, Sector 112, Gurgaon",https://www.99acres.com/experion-windchants-sector-112-gurgaon-npxid-r4342
"ATS Triumph, Sector 104, Gurgaon",https://www.99acres.com/ats-triumph-sector-104-gurgaon-npxid-r25860
"M3M Skywalk, Sector 74, Gurgaon",https://www.99acres.com/m3m-skywalk-sector-74-gurgaon-npxid-r368291
"Ireo Skyon, Sector 60, Gurgaon",https://www.99acres.com/ireo-skyon-resale-in-sector-60-gurgaon-12254-npffid
"Emaar MGF The Palm Drive, Sector 66, Gurgaon",https://www.99acres.com/emaar-mgf-the-palm-drive-sector-66-gurgaon-npxid-r19
"Indiabulls Enigma, Sector 110, Gurgaon",https://www.99acres.com/indiabulls-enigma-sector-110-gurgaon-npxid-r31904
"Brisk Lumbini Terrace Homes, Sector 109, Gurgaon",https://www.99acres.com/brisk-lumbini-terrace-homes-sector-109-gurgaon-npxid-r37636
"Emaar Imperial Gardens, Sector 102, Gurgaon",https://www.99acres.com/emaar-imperial-gardens-resale-in-sector-102-gurgaon-10793-npffid
"M3M Latitude, Sector 65, Gurgaon",https://www.99acres.com/m3m-latitude-sector-65-gurgaon-npxid-r63915
"Shapoorji Pallonji Joyville Gurugram, Sector 102, Gurgaon",https://www.99acres.com/shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-npxid-r319819
"M3M Capital, Sector 113, Gurgaon",https://www.99acres.com/m3m-capital-sector-113-gurgaon-npxid-r385121
"Emaar Mgf Sky Terraces, Sector 66, Gurgaon",https://www.99acres.com/emaar-mgf-sky-terraces-sector-66-gurgaon-npxid-r25280
"Puri Diplomatic Greens, Sector 111, Gurgaon",https://www.99acres.com/puri-diplomatic-greens-sector-111-gurgaon-npxid-r1350
"M3M Golfestate, Sector 65, Gurgaon",https://www.99acres.com/m3m-golfestate-sector-65-gurgaon-npxid-r1030
"Emaar Digihomes, Sector 62, Gurgaon",https://www.99acres.com/emaar-digihomes-resale-in-sector-62-gurgaon-1000501-npffid
"Raisina Residency, Sector 59, Gurgaon",https://www.99acres.com/raisina-residency-resale-in-sector-59-gurgaon-3434-npffid
"Conscient Heritage One, Sector 62, Gurgaon",https://www.99acres.com/conscient-heritage-one-sector-62-gurgaon-npxid-r1822
"ILD Grand, Sector 37, Gurgaon",https://www.99acres.com/ild-grand-sector-37c-gurgaon-npxid-r2362
"Parsvnath Exotica, Sector 53, Gurgaon",https://www.99acres.com/parsvnath-exotica-sector-53-gurgaon-npxid-r11
"Suncity Essel Towers, Sector 28, Gurgaon",https://www.99acres.com/suncity-essel-towers-sector-28-gurgaon-npxid-r12300
"Ireo Victory Valley, Sector 67, Gurgaon",https://www.99acres.com/ireo-victory-valley-sector-67-gurgaon-npxid-r871
"DLF Park Place, Sector 54, Gurgaon",https://www.99acres.com/dlf-park-place-sector-54-gurgaon-npxid-r8
"Elan The Mark, Sector 106, Gurgaon",https://www.99acres.com/elan-the-mark-sector-106-gurgaon-npxid-c409846
"Sobha City, Sector 108, Gurgaon",https://www.99acres.com/sobha-city-sector-108-gurgaon-npxid-r256111
